strategy,request_id,expected_safe,predicted_safe,safe_diff,abs_error,amount_exact,expected_earliest,predicted_earliest,earliest_exact,baseline_min,minimum_required,flow_count
LATEST,request_05,737.0,0.0,-737.0,737.0,False,,,True,8311.68,13100.0,41
LATEST,request_06,603.3,518.45,-84.84999999999991,84.84999999999991,False,2026-01-15,2026-01-15,True,1318.45,800.0,66
LATEST,request_07,87170.56,87730.86,560.3000000000029,560.3000000000029,False,2024-10-23,2024-10-23,True,180730.86,93000.0,29
LATEST,request_08,284.57,270.65,-13.920000000000016,13.920000000000016,False,2025-04-15,,False,1070.65,800.0,55
LATEST,request_09,166.61,0.0,-166.61,166.61,False,2026-07-04,,False,588.44,600.0,32
LATEST,request_10,12700.0,0.0,-12700.0,12700.0,False,,,True,197182.88,225400.0,50
LATEST,request_11,12510645.0,12470824.54,-39820.460000000894,39820.460000000894,False,2025-07-15,2025-05-15,False,46611424.54,34140600.0,43
LATEST,request_12,65164.0,57790.43,-7373.57,7373.57,False,2026-04-05,,False,100990.43,43200.0,32
LATEST,request_13,433.4,660.12,226.72000000000003,226.72000000000003,False,2024-05-15,,False,1960.12,1300.0,52
LATEST,request_14,597.74,586.38,-11.360000000000014,11.360000000000014,False,,,True,2786.38,2200.0,42
LATEST,request_15,83.05,0.0,-83.05,83.05,False,,,True,1192.83,1200.0,54
LATEST,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,349989.46,122400.0,52
LATEST,request_17,243849.58,0.0,-243849.58,243849.58,False,2026-03-15,,False,155167.83,166100.0,53
LATEST,request_18,462.0,539.39,77.38999999999999,77.38999999999999,False,2026-09-15,2026-09-15,True,1939.39,1400.0,39
LATEST,request_19,28820.0,32574.4,3754.4000000000015,3754.4000000000015,False,2024-09-15,2024-09-15,True,125374.4,92800.0,43
LATEST,request_20,5400.0,7115.46,1715.46,1715.46,False,,,True,71615.46,64500.0,47
LATEST,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3452.34,1800.0,36
LATEST,request_22,475.46,458.85,-16.609999999999957,16.609999999999957,False,2025-01-15,2025-01-15,True,958.85,500.0,54
LATEST,request_23,9152.0,10780.2,1628.2000000000007,1628.2000000000007,False,2025-07-15,2025-07-15,True,37780.2,27000.0,43
LATEST,request_24,13420.0,12773.1,-646.8999999999996,646.8999999999996,False,,,True,63773.1,51000.0,65
LATEST,request_25,1425000.0,0.0,-1425000.0,1425000.0,False,,,True,23349967.25,23379100.0,64
MEDIAN_3,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,47998.9,18000.0,53
MEDIAN_3,request_02,17229139.2,18182845.56,953706.3599999994,953706.3599999994,False,2025-09-15,2025-09-15,True,47341245.56,29158400.0,43
MEDIAN_3,request_03,873000.0,930660.69,57660.689999999944,57660.689999999944,False,2019-11-15,2019-11-15,True,3599360.69,2668700.0,36
MEDIAN_3,request_04,8401800.0,10609434.53,2207634.5299999993,2207634.5299999993,False,2024-06-15,2024-06-15,True,41296034.53,30686600.0,55
MEDIAN_3,request_05,737.0,0.0,-737.0,737.0,False,,,True,8361.74,13100.0,41
MEDIAN_3,request_06,603.3,529.74,-73.55999999999995,73.55999999999995,False,2026-01-15,2026-01-15,True,1329.74,800.0,66
MEDIAN_3,request_07,87170.56,86161.29,-1009.2700000000041,1009.2700000000041,False,2024-10-23,2024-10-23,True,179161.29,93000.0,29
MEDIAN_3,request_08,284.57,281.33,-3.240000000000009,3.240000000000009,False,2025-04-15,,False,1081.33,800.0,55
MEDIAN_3,request_09,166.61,0.0,-166.61,166.61,False,2026-07-04,,False,570.25,600.0,32
MEDIAN_3,request_10,12700.0,5636.37,-7063.63,7063.63,False,,,True,231036.37,225400.0,50
MEDIAN_3,request_11,12510645.0,12561796.98,51151.98000000045,51151.98000000045,False,2025-07-15,2025-05-15,False,46702396.98,34140600.0,43
MEDIAN_3,request_12,65164.0,57402.14,-7761.860000000001,7761.860000000001,False,2026-04-05,,False,100602.14,43200.0,32
MEDIAN_3,request_13,433.4,640.88,207.48000000000002,207.48000000000002,False,2024-05-15,,False,1940.88,1300.0,52
MEDIAN_3,request_14,597.74,639.05,41.309999999999945,41.309999999999945,False,,,True,2839.05,2200.0,42
MEDIAN_3,request_15,83.05,24.84,-58.209999999999994,58.209999999999994,False,,,True,1224.84,1200.0,54
MEDIAN_3,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,351279.25,122400.0,52
MEDIAN_3,request_17,243849.58,243709.7,-139.87999999997555,139.87999999997555,False,2026-03-15,2026-03-15,True,409809.7,166100.0,53
MEDIAN_3,request_18,462.0,530.21,68.21000000000004,68.21000000000004,False,2026-09-15,2026-09-15,True,1930.21,1400.0,39
MEDIAN_3,request_19,28820.0,31272.87,2452.869999999999,2452.869999999999,False,2024-09-15,2024-09-15,True,124072.87,92800.0,43
MEDIAN_3,request_20,5400.0,8324.34,2924.34,2924.34,False,,,True,72824.34,64500.0,47
MEDIAN_3,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3479.68,1800.0,36
MEDIAN_3,request_22,475.46,469.3,-6.159999999999968,6.159999999999968,False,2025-01-15,2025-01-15,True,969.3,500.0,54
MEDIAN_3,request_23,9152.0,10131.87,979.8700000000008,979.8700000000008,False,2025-07-15,2025-07-15,True,37131.87,27000.0,43
MEDIAN_3,request_24,13420.0,12983.61,-436.3899999999994,436.3899999999994,False,,,True,63983.61,51000.0,65
MEDIAN_3,request_25,1425000.0,7801.24,-1417198.76,1417198.76,False,,,True,23386901.24,23379100.0,64
MEAN_3,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,48123.03666666667,18000.0,53
MEAN_3,request_02,17229139.2,18170561.94,941422.7400000021,941422.7400000021,False,2025-09-15,2025-09-15,True,47328961.93666667,29158400.0,43
MEAN_3,request_03,873000.0,939772.14,66772.14000000001,66772.14000000001,False,2019-11-15,2019-11-15,True,3608472.1366666667,2668700.0,36
MEAN_3,request_04,8401800.0,10567911.35,2166111.3499999996,2166111.3499999996,False,2024-06-15,2024-06-15,True,41254511.35333333,30686600.0,55
MEAN_3,request_05,737.0,0.0,-737.0,737.0,False,,,True,8568.9,13100.0,41
MEAN_3,request_06,603.3,527.52,-75.77999999999997,75.77999999999997,False,2026-01-15,2026-01-15,True,1327.5233333333333,800.0,66
MEAN_3,request_07,87170.56,86219.65,-950.9100000000035,950.9100000000035,False,2024-10-23,2024-10-23,True,179219.65,93000.0,29
MEAN_3,request_08,284.57,282.07,-2.5,2.5,False,2025-04-15,,False,1082.07,800.0,55
MEAN_3,request_09,166.61,0.0,-166.61,166.61,False,2026-07-04,,False,583.4766666666668,600.0,32
MEAN_3,request_10,12700.0,0.0,-12700.0,12700.0,False,,,True,221207.25666666668,225400.0,50
MEAN_3,request_11,12510645.0,12411084.35,-99560.65000000037,99560.65000000037,False,2025-07-15,2025-05-15,False,46551684.35,34140600.0,43
MEAN_3,request_12,65164.0,59615.72,-5548.279999999999,5548.279999999999,False,2026-04-05,,False,102815.72,43200.0,32
MEAN_3,request_13,433.4,568.47,135.07000000000005,135.07000000000005,False,2024-05-15,,False,1868.4666666666665,1300.0,52
MEAN_3,request_14,597.74,619.02,21.279999999999973,21.279999999999973,False,,,True,2819.02,2200.0,42
MEAN_3,request_15,83.05,14.16,-68.89,68.89,False,,,True,1214.1566666666668,1200.0,54
MEAN_3,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,353595.35000000003,122400.0,52
MEAN_3,request_17,243849.58,203050.58,-40799.0,40799.0,False,2026-03-15,2026-05-15,False,369150.5833333333,166100.0,53
MEAN_3,request_18,462.0,533.4,71.39999999999998,71.39999999999998,False,2026-09-15,2026-09-15,True,1933.3966666666668,1400.0,39
MEAN_3,request_19,28820.0,31521.39,2701.3899999999994,2701.3899999999994,False,2024-09-15,2024-09-15,True,124321.39,92800.0,43
MEAN_3,request_20,5400.0,8284.38,2884.379999999999,2884.379999999999,False,,,True,72784.38,64500.0,47
MEAN_3,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3475.0299999999997,1800.0,36
MEAN_3,request_22,475.46,467.5,-7.9599999999999795,7.9599999999999795,False,2025-01-15,2025-01-15,True,967.5033333333333,500.0,54
MEAN_3,request_23,9152.0,10185.39,1033.3899999999994,1033.3899999999994,False,2025-07-15,2025-07-15,True,37185.39,27000.0,43
MEAN_3,request_24,13420.0,13129.44,-290.5599999999995,290.5599999999995,False,,,True,64129.44,51000.0,65
MEAN_3,request_25,1425000.0,354457.94,-1070542.06,1070542.06,False,,,True,23733557.94,23379100.0,64
MEAN_5,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,48246.754,18000.0,53
MEAN_5,request_02,17229139.2,18069584.88,840445.6799999997,840445.6799999997,False,2025-09-15,2025-09-15,True,47227984.884,29158400.0,43
MEAN_5,request_03,873000.0,942483.14,69483.14000000001,69483.14000000001,False,2019-11-15,2019-11-15,True,3611183.138,2668700.0,36
MEAN_5,request_04,8401800.0,10597545.7,2195745.6999999993,2195745.6999999993,False,2024-06-15,2024-06-15,True,41284145.702,30686600.0,55
MEAN_5,request_05,737.0,0.0,-737.0,737.0,False,,,True,7976.048000000002,13100.0,41
MEAN_5,request_06,603.3,524.55,-78.75,78.75,False,2026-01-15,2026-01-15,True,1324.546,800.0,66
MEAN_5,request_07,87170.56,86761.86,-408.6999999999971,408.6999999999971,False,2024-10-23,2024-10-23,True,179761.856,93000.0,29
MEAN_5,request_08,284.57,289.33,4.759999999999991,4.759999999999991,False,2025-04-15,,False,1089.328,800.0,55
MEAN_5,request_09,166.61,22.23,-144.38000000000002,144.38000000000002,False,2026-07-04,,False,622.23,600.0,32
MEAN_5,request_10,12700.0,0.0,-12700.0,12700.0,False,,,True,197797.29,225400.0,50
MEAN_5,request_11,12510645.0,12378605.15,-132039.84999999963,132039.84999999963,False,2025-07-15,2025-05-15,False,46519205.154,34140600.0,43
MEAN_5,request_12,65164.0,58247.7,-6916.300000000003,6916.300000000003,False,2026-04-05,,False,101447.7,43200.0,32
MEAN_5,request_13,433.4,608.55,175.14999999999998,175.14999999999998,False,2024-05-15,,False,1908.5480000000002,1300.0,52
MEAN_5,request_14,597.74,615.3,17.559999999999945,17.559999999999945,False,,,True,2815.3,2200.0,42
MEAN_5,request_15,83.05,4.7,-78.35,78.35,False,,,True,1204.696,1200.0,54
MEAN_5,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,357627.694,122400.0,52
MEAN_5,request_17,243849.58,229063.8,-14785.779999999999,14785.779999999999,False,2026-03-15,2026-05-15,False,395163.802,166100.0,53
MEAN_5,request_18,462.0,547.76,85.75999999999999,85.75999999999999,False,2026-09-15,2026-09-15,True,1947.762,1400.0,39
MEAN_5,request_19,28820.0,30272.87,1452.869999999999,1452.869999999999,False,2024-09-15,2024-09-15,True,123072.872,92800.0,43
MEAN_5,request_20,5400.0,8589.2,3189.2000000000007,3189.2000000000007,False,,,True,73089.202,64500.0,47
MEAN_5,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3475.146,1800.0,36
MEAN_5,request_22,475.46,463.84,-11.620000000000005,11.620000000000005,False,2025-01-15,2025-01-15,True,963.844,500.0,54
MEAN_5,request_23,9152.0,10093.4,941.3999999999996,941.3999999999996,False,2025-07-15,2025-07-15,True,37093.396,27000.0,43
MEAN_5,request_24,13420.0,13599.65,179.64999999999964,179.64999999999964,False,,,True,64599.654,51000.0,65
MEAN_5,request_25,1425000.0,289596.15,-1135403.85,1135403.85,False,,,True,23668696.154,23379100.0,64
MEDIAN_8,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,48376.8,18000.0,53
MEDIAN_8,request_02,17229139.2,17974695.97,745556.7699999996,745556.7699999996,False,2025-09-15,2025-09-15,True,47133095.965,29158400.0,43
MEDIAN_8,request_03,873000.0,964306.92,91306.92000000004,91306.92000000004,False,2019-11-15,2019-11-15,True,3633006.92,2668700.0,36
MEDIAN_8,request_04,8401800.0,10461967.57,2060167.5700000003,2060167.5700000003,False,2024-06-15,2024-06-15,True,41148567.57,30686600.0,55
MEDIAN_8,request_05,737.0,0.0,-737.0,737.0,False,,,True,8555.785,13100.0,41
MEDIAN_8,request_06,603.3,524.0,-79.29999999999995,79.29999999999995,False,2026-01-15,2026-01-15,True,1324.0,800.0,66
MEDIAN_8,request_07,87170.56,85752.63,-1417.929999999993,1417.929999999993,False,2024-10-23,2024-10-23,True,178752.625,93000.0,29
MEDIAN_8,request_08,284.57,293.68,9.110000000000014,9.110000000000014,False,2025-04-15,,False,1093.675,800.0,55
MEDIAN_8,request_09,166.61,5.67,-160.94000000000003,160.94000000000003,False,2026-07-04,,False,605.67,600.0,32
MEDIAN_8,request_10,12700.0,0.0,-12700.0,12700.0,False,,,True,188324.95500000002,225400.0,50
MEDIAN_8,request_11,12510645.0,12129294.72,-381350.27999999933,381350.27999999933,False,2025-07-15,2025-05-15,False,46269894.715,34140600.0,43
MEDIAN_8,request_12,65164.0,60334.15,-4829.8499999999985,4829.8499999999985,False,2026-04-05,,False,103534.145,43200.0,32
MEDIAN_8,request_13,433.4,540.67,107.26999999999998,107.26999999999998,False,2024-05-15,,False,1840.6650000000002,1300.0,52
MEDIAN_8,request_14,597.74,625.89,28.149999999999977,28.149999999999977,False,,,True,2825.89,2200.0,42
MEDIAN_8,request_15,83.05,17.7,-65.35,65.35,False,,,True,1217.7,1200.0,54
MEDIAN_8,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,361720.14,122400.0,52
MEDIAN_8,request_17,243849.58,242443.39,-1406.1899999999732,1406.1899999999732,False,2026-03-15,2026-04-15,False,408543.39,166100.0,53
MEDIAN_8,request_18,462.0,552.46,90.46000000000004,90.46000000000004,False,2026-09-15,2026-09-15,True,1952.455,1400.0,39
MEDIAN_8,request_19,28820.0,30496.17,1676.1699999999983,1676.1699999999983,False,2024-09-15,2024-09-15,True,123296.17,92800.0,43
MEDIAN_8,request_20,5400.0,8643.58,3243.58,3243.58,False,,,True,73143.58,64500.0,47
MEDIAN_8,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3479.055,1800.0,36
MEDIAN_8,request_22,475.46,461.15,-14.310000000000002,14.310000000000002,False,2025-01-15,2025-01-15,True,961.145,500.0,54
MEDIAN_8,request_23,9152.0,9968.33,816.3299999999999,816.3299999999999,False,2025-07-15,2025-07-15,True,36968.33,27000.0,43
MEDIAN_8,request_24,13420.0,13689.71,269.7099999999991,269.7099999999991,False,,,True,64689.71,51000.0,65
MEDIAN_8,request_25,1425000.0,207044.96,-1217955.04,1217955.04,False,,,True,23586144.955,23379100.0,64
MEAN_8,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,48272.6075,18000.0,53
MEAN_8,request_02,17229139.2,18135438.64,906299.4400000013,906299.4400000013,False,2025-09-15,2025-09-15,True,47293838.64375,29158400.0,43
MEAN_8,request_03,873000.0,968564.55,95564.55000000005,95564.55000000005,False,2019-11-15,2019-11-15,True,3637264.5485,2668700.0,36
MEAN_8,request_04,8401800.0,10571766.11,2169966.1099999994,2169966.1099999994,False,2024-06-15,2024-06-15,True,41258366.10925,30686600.0,55
MEAN_8,request_05,737.0,0.0,-737.0,737.0,False,,,True,8594.46175,13100.0,41
MEAN_8,request_06,603.3,523.5,-79.79999999999995,79.79999999999995,False,2026-01-15,2026-01-15,True,1323.49625,800.0,66
MEAN_8,request_07,87170.56,86501.41,-669.1499999999942,669.1499999999942,False,2024-10-23,2024-10-23,True,179501.40975,93000.0,29
MEAN_8,request_08,284.57,290.13,5.560000000000002,5.560000000000002,False,2025-04-15,,False,1090.12625,800.0,55
MEAN_8,request_09,166.61,22.39,-144.22000000000003,144.22000000000003,False,2026-07-04,,False,622.3879999999999,600.0,32
MEAN_8,request_10,12700.0,0.0,-12700.0,12700.0,False,,,True,186376.994,225400.0,50
MEAN_8,request_11,12510645.0,12243719.43,-266925.5700000003,266925.5700000003,False,2025-07-15,2025-05-15,False,46384319.43,34140600.0,43
MEAN_8,request_12,65164.0,60795.74,-4368.260000000002,4368.260000000002,False,2026-04-05,,False,103995.73625,43200.0,32
MEAN_8,request_13,433.4,516.8,83.39999999999998,83.39999999999998,False,2024-05-15,,False,1816.7966666666666,1300.0,52
MEAN_8,request_14,597.74,613.64,15.899999999999977,15.899999999999977,False,,,True,2813.64125,2200.0,42
MEAN_8,request_15,83.05,10.93,-72.12,72.12,False,,,True,1210.93225,1200.0,54
MEAN_8,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,361207.36375,122400.0,52
MEAN_8,request_17,243849.58,234331.22,-9518.359999999986,9518.359999999986,False,2026-03-15,2026-05-15,False,400431.21525,166100.0,53
MEAN_8,request_18,462.0,544.87,82.87,82.87,False,2026-09-15,2026-09-15,True,1944.86575,1400.0,39
MEAN_8,request_19,28820.0,30350.09,1530.0900000000001,1530.0900000000001,False,2024-09-15,2024-09-15,True,123150.09075,92800.0,43
MEAN_8,request_20,5400.0,8707.54,3307.540000000001,3307.540000000001,False,,,True,73207.53575,64500.0,47
MEAN_8,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3476.8725,1800.0,36
MEAN_8,request_22,475.46,463.18,-12.279999999999973,12.279999999999973,False,2025-01-15,2025-01-15,True,963.18125,500.0,54
MEAN_8,request_23,9152.0,9964.87,812.8700000000008,812.8700000000008,False,2025-07-15,2025-07-15,True,36964.8725,27000.0,43
MEAN_8,request_24,13420.0,13732.48,312.47999999999956,312.47999999999956,False,,,True,64732.47775,51000.0,65
MEAN_8,request_25,1425000.0,345607.12,-1079392.88,1079392.88,False,,,True,23724707.12125,23379100.0,64
